Cost,Het,R,WW,RW,RR
0.245,0,6.08163289454659e-08,0.999999919183671,3.99999992440869e-08,4.08163293234225e-08
0.246,0,6.06504015808173e-08,0.999999919349601,3.99999945749976e-08,4.06504042933185e-08
0.247,0,6.04858252803991e-08,0.999999919514178,3.99999946386186e-08,4.04858279610898e-08
0.248,0,6.03225804704958e-08,0.999999919677421,3.99999975944863e-08,4.03225816732526e-08
0.249,0,6.01606361814242e-08,0.999999919839367,3.99999934514524e-08,4.0160639455698e-08
0.25,0,5.99999955715498e-08,0.999999920000007,3.99999948038154e-08,3.99999981696421e-08
0.251,0,5.98406392982969e-08,0.999999920159361,3.99999991116045e-08,3.98406397424947e-08
0.252,0,5.96825366584875e-08,0.999999920317465,3.99999957180304e-08,3.96825387994723e-08
0.253,0,5.95256925372346e-08,0.999999920474308,3.99999984015235e-08,3.95256933364728e-08
0.254,0,5.93700729792617e-08,0.99999992062993,3.99999939280898e-08,3.93700760152168e-08
0.255,0,5.92156840701691e-08,0.999999920784318,3.99999959636681e-08,3.9215686088335e-08
0.256,0,5.90624987256358e-08,0.999999920937503,3.99999970881752e-08,3.90625001815482e-08
0.257,0,5.89105069877278e-08,0.999999921089494,3.99999985138664e-08,3.89105077307946e-08
0.258,0,5.87596837607932e-08,0.99999992124032,3.99999936055245e-08,3.87596869580309e-08
0.259,0,5.86100330268631e-08,0.99999992138997,3.99999938662009e-08,3.86100360937627e-08
0.26,0,5.8461528729686e-08,0.999999921538476,3.99999910768848e-08,3.84615331912436e-08
0.261,0,5.83141711077438e-08,0.999999921685832,3.99999943363195e-08,3.8314173939584e-08
0.262,0,5.81679409922464e-08,0.999999921832059,3.99999991472208e-08,3.8167941418636e-08
0.263,0,5.80228081509537e-08,0.999999921977195,3.99999938443368e-08,3.80228112287854e-08
0.264,0,5.78787895074063e-08,0.999999922121211,3.9999998754966e-08,3.78787901299234e-08
0.265,0,5.77358480301431e-08,0.999999922264153,3.99999971396569e-08,3.77358494603146e-08
0.266,0,5.75939801253716e-08,0.999999922406023,3.99999944166197e-08,3.75939829170617e-08
0.267,0,5.74531829619877e-08,0.999999922546818,3.99999973557456e-08,3.7453184284115e-08
0.268,0,5.73134296020511e-08,0.999999922686573,3.99999956674272e-08,3.73134317683375e-08
0.269,0,5.71747180981242e-08,0.999999922825284,3.99999958547841e-08,3.71747201707321e-08
0.27,0,5.70370350201474e-08,0.999999922962967,3.99999962532196e-08,3.70370368935377e-08
0.271,0,5.69003675731172e-08,0.999999923099634,3.99999967963879e-08,3.69003691749232e-08
0.272,0,5.67647039335253e-08,0.999999923235298,3.99999963371927e-08,3.67647057649289e-08
0.273,0,5.66300379216594e-08,0.999999923369963,3.99999988298701e-08,3.66300385067244e-08
0.274,0,5.6496347022542e-08,0.999999923503655,3.99999955173117e-08,3.64963492638862e-08
0.275,0,5.63636364790283e-08,0.999999923636365,3.99999978128527e-08,3.63636375726019e-08
0.276,0,5.62318841296216e-08,0.999999923768117,3.99999980284503e-08,3.62318851153965e-08
0.277,0,5.6101080341109e-08,0.999999923898922,3.99999957749396e-08,3.61010824536393e-08
0.278,0,5.59712197816836e-08,0.999999924028782,3.99999957139858e-08,3.59712219246907e-08
0.279,0,5.58422903256868e-08,0.999999924157712,3.99999953604771e-08,3.58422926454483e-08
0.28,0,5.57142854770315e-08,0.999999924285716,3.99999975518545e-08,3.57142867011042e-08
0.281,0,5.55871860158475e-08,0.999999924412816,3.99999959313566e-08,3.55871880501692e-08
0.282,0,5.54609886502485e-08,0.999999924539014,3.99999949974566e-08,3.54609911515202e-08
0.283,0,5.53356839398505e-08,0.999999924664319,3.99999944940784e-08,3.53356866928113e-08
0.284,0,5.52112724260888e-08,0.999999924788727,4.0000001384012e-08,3.52112717340828e-08
0.285,0,5.50877138433012e-08,0.999999924912289,3.99999940076877e-08,3.50877168394574e-08
0.286,0,5.49650336422731e-08,0.999999925034968,3.99999970134254e-08,3.49650351355604e-08
0.287,0,5.48431999496571e-08,0.999999925156803,3.99999937691155e-08,3.48432030650994e-08
0.288,0,5.47222237178623e-08,0.999999925277777,3.99999989022218e-08,3.47222242667515e-08
0.289,0,5.46020739757561e-08,0.999999925397928,3.99999964846969e-08,3.46020757334076e-08
0.29,0,5.44827471342713e-08,0.999999925517258,3.99999894844954e-08,3.44827523920237e-08
0.291,0,5.43642556544236e-08,0.999999925635748,3.99999937930265e-08,3.43642587579103e-08
0.292,0,5.42465684907519e-08,0.999999925753435,3.99999929869235e-08,3.42465719972901e-08
0.293,0,5.41296905912401e-08,0.999999925870311,3.99999961102679e-08,3.41296925361062e-08
0.294,0,5.40135998501234e-08,0.999999925986403,3.99999939290505e-08,3.40136028855982e-08
0.295,0,5.38983027129925e-08,0.999999926101699,3.99999962391447e-08,3.38983045934201e-08
